file,subj,session,atlas,shape,dtype,md5
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-001_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-001,ses-1,schaefer200,200x200,float64,c416df6818812ddef717a8ce160a047b
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-002_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-002,ses-1,schaefer200,200x200,float64,ce3432a0b5e9e7779ee8fb5661624f79
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-003_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-003,ses-1,schaefer200,200x200,float64,99a1573be47680a808b162e8dacd2c25
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-004_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-004,ses-1,schaefer200,200x200,float64,4eba32afb34470050797efb1c6573250
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-005_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-005,ses-1,schaefer200,200x200,float64,9ba2f46b6d4e8d2579e057e64437def4
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-006_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-006,ses-1,schaefer200,200x200,float64,e1bb10174a3d1e65926111d94bcef0fe
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-007_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-007,ses-1,schaefer200,200x200,float64,88ecd7d054ed22d54b95d9c3a35cca5a
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-008_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-008,ses-1,schaefer200,200x200,float64,9890ca5beb1827bc32f853f1f2201f57
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-009_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-009,ses-1,schaefer200,200x200,float64,798080679c35f8e21e6c5090d967b93d
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-010_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-010,ses-1,schaefer200,200x200,float64,07b8e21024a973c0e9e235702c55e6e5
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-011_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-011,ses-1,schaefer200,200x200,float64,8228e649ab16949256f8c5bb87d06c42
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-012_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-012,ses-1,schaefer200,200x200,float64,364c48863501e75bb497d29e497d5b1f
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-013_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-013,ses-1,schaefer200,200x200,float64,86166222f2a71764d5fa100cbd763950
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-014_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-014,ses-1,schaefer200,200x200,float64,29b85fc53d55a18417157cf221a66a1f
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-015_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-015,ses-1,schaefer200,200x200,float64,64a77945e7ecb380e57fd62b5ed2c1cb
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-016_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-016,ses-1,schaefer200,200x200,float64,67fb7435626e411594e48a85fc9fd4fb
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-017_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-017,ses-1,schaefer200,200x200,float64,e980ff5ffcf56b19725f7672feaddbe0
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-018_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-018,ses-1,schaefer200,200x200,float64,c192e62f3936747358da051eb392673b
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-019_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-019,ses-1,schaefer200,200x200,float64,20da49907d7724ca2cee4202a6cf3186
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-020_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-020,ses-1,schaefer200,200x200,float64,61fd32b54f841199d2dfa1f8b9e15a43
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-021_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-021,ses-1,schaefer200,200x200,float64,8a8965bba05b2372848f8f3430293d5b
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-022_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-022,ses-1,schaefer200,200x200,float64,d6018d8b57d62b99db43c8d647684121
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-023_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-023,ses-1,schaefer200,200x200,float64,8fcf9c0b2f691e3b749e7fe85a2b189f
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-024_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-024,ses-1,schaefer200,200x200,float64,b5b470ed15662512d45352b5f41d2d47
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-025_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-025,ses-1,schaefer200,200x200,float64,b8decd1d14976d3139cad514691be424
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-026_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-026,ses-1,schaefer200,200x200,float64,756ad8e89d03f513912da67c6a08f3de
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-027_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-027,ses-1,schaefer200,200x200,float64,cdde6882b4e58952397b9a2449f629d2
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-028_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-028,ses-1,schaefer200,200x200,float64,19c148511dbca040000e3de6a02fe6f1
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-029_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-029,ses-1,schaefer200,200x200,float64,321f77fc9e8f9e13a000d8999a806296
/content/drive/MyDrive/fmri_fingerprint/connectivity/sub-030_ses-1_task-rest_atlas-schaefer200_conn_z.npz,sub-030,ses-1,schaefer200,200x200,float64,34ce91fbd997bdff8e7394f179fbdfd6
